,Entity,Year,Fossil fuels (% electricity),Renewables (% electricity),Per capita electricity (kWh),Fossil fuels (% equivalent primary energy),Renewables (% equivalent primary energy),Aviation and shipping (per capita),Land-use change and forestry (per capita),Manufacturing and construction (per capita),Fugitive emissions (per capita),Agriculture (per capita),Buildings (per capita),Electricity and heat (per capita),Industry (per capita),Transport (per capita)_x,Waste (per capita),Carbon intensity of electricity (gCO2/kWh),Transport (per capita)_y,Biofuels Consumption - TWh - Total (zero filled),Solar Consumption - TWh (zero filled),Wind Consumption - TWh (zero filled),Hydro Consumption - TWh (zero filled),Nuclear Consumption - TWh (zero filled),Gas Consumption - TWh (zero filled),Coal Consumption - TWh (zero filled),Oil Consumption - TWh (zero filled),Geo Biomass Other - TWh (zero filled)
1119,Oman,2019,92.7795181274414,0.0650332197546958,7805.841796875,99.98241424560548,0.0175869055092334,1.2623136043548584,0.0040201069787144,2.8100547790527344,4.601012229919434,0.3577895164489746,3.2462363243103027,4.900510311126709,1.011056900024414,2.502516508102417,0.223115935921669,454.4986572265625,2.43015456199646,0.0,0.0436386093497276,0.0229444447904825,0.0,0.0,249.9654693603516,1.972190260887146,126.5902328491211,0.0
1120,Pakistan,2000,70.96571350097656,29.00286674499512,447.754638671875,88.10110473632812,11.344158172607422,0.0146125294268131,0.056553304195404,0.1576467305421829,0.0532514341175556,0.7767824530601501,0.1334798485040664,0.2425820678472519,0.0356180444359779,0.1839914321899414,0.0463666841387748,409.1943054199219,0.1798465251922607,0.0,0.0,0.0,51.91963577270508,2.683584213256836,179.52499389648438,23.58563995361328,223.0822296142578,0.926699995994568
1121,Pakistan,2001,67.00779724121094,27.12583923339844,483.9654235839844,87.39733123779297,11.41504955291748,0.0142486821860075,0.048431821167469,0.1551599353551864,0.0546656213700771,0.7650446891784668,0.1315948069095611,0.243186667561531,0.0383618399500846,0.1789305806159973,0.0460342094302177,386.1370239257813,0.1748888939619064,0.0,0.0,0.0,53.73771286010742,5.880498886108398,189.5449981689453,24.481149673461918,218.72186279296875,0.8720999956130981
1122,Pakistan,2002,64.0862045288086,28.72247886657715,497.7008056640625,86.77848815917969,12.188603401184082,0.0161150470376014,0.0472752600908279,0.1676366031169891,0.0546306744217872,0.7685739994049072,0.1295221745967865,0.2364431619644165,0.0379806905984878,0.177064910531044,0.0457373112440109,370.2758483886719,0.1729860007762909,0.0,0.0,0.0,59.59567642211914,5.310293197631836,205.49349975585935,27.446800231933597,213.1959991455078,0.9607999920845032
1123,Pakistan,2003,62.58280944824219,33.30293655395508,502.86956787109375,85.71954345703125,13.333745002746582,0.0139783974736928,0.0461809672415256,0.1956975609064102,0.0646664127707481,0.7756704092025757,0.1286143213510513,0.2069978564977646,0.0429149866104126,0.1814578771591186,0.0453971289098262,363.0530395507813,0.1772121042013168,0.0,0.0,0.0,71.33580017089844,5.30085039138794,255.50379943847656,35.22381591796875,189.23907470703125,1.041100025177002
1124,Pakistan,2004,64.23628997802734,33.159873962402344,525.36083984375,86.25184631347656,12.676342964172363,0.0163406301289796,0.0451282262802124,0.2230879068374633,0.0691923573613166,0.7789246439933777,0.1339804083108902,0.2290879786014557,0.0474899560213089,0.1913002729415893,0.0451282262802124,371.4211120605469,0.1867682933807373,0.0,0.0,0.0,75.5453872680664,6.678009986877441,306.7659606933594,39.27971267700195,191.3568115234375,1.0764000415802002
1125,Pakistan,2005,62.73924255371094,34.585594177246094,553.7243041992188,85.32382202148438,13.59751033782959,0.0170925240963697,0.04410370439291,0.2328700423240661,0.0714267864823341,0.789874255657196,0.1347439885139465,0.2338681519031524,0.0518390089273452,0.1739819347858429,0.0448522791266441,363.8853454589844,0.1696776151657104,0.0,0.0,0.0,87.90575408935547,6.973384857177734,326.1018981933594,43.6085205078125,181.8946685791016,0.0
1126,Pakistan,2006,61.10420608520508,31.27675437927246,589.6748657226562,86.35140991210938,12.633492469787598,0.0165221113711595,0.0431038103997707,0.2475878000259399,0.0706609860062599,0.8197649717330933,0.1376029700040817,0.2597812414169311,0.0603575259447097,0.1726591140031814,0.0447499230504035,354.21826171875,0.168208509683609,0.0,0.0,0.0,86.07599639892578,6.9161906242370605,333.1947937011719,46.20722579956055,208.93760681152344,0.0
1127,Pakistan,2007,59.30710983276367,31.87625312805176,592.22998046875,86.76642608642578,12.365367889404297,0.01436164136976,0.0421910472214221,0.2678058743476867,0.0730000436305999,0.8146209120750427,0.1424245834350586,0.2591054737567901,0.0713910683989524,0.2031487077474594,0.0446939058601856,343.2245788574219,0.1978450268507003,0.0,0.000572222226765,0.0,89.57545471191406,6.289412021636963,338.0025634765625,63.22690200805664,227.315673828125,0.0
1128,Pakistan,2008,61.50982666015625,29.339120864868164,542.9006958007812,88.79951477050781,10.553434371948242,0.0153219662606716,0.0411887057125568,0.2315189838409423,0.0693857818841934,0.8331537246704102,0.1433739811182022,0.2524337470531463,0.0819113478064537,0.1926606148481369,0.044567696750164,356.1603698730469,0.1874173432588577,0.0,0.0044444445520639,0.0,76.82435607910156,4.710519313812256,346.0761108398437,69.673095703125,230.70962524414065,0.0
