,,,Petrol,,Adv Petrol,,,Diesel,,,Adv Diesel,,,CNG ,,,Hybrid ,,,Electric,,,Bikes,,Electric Bikes,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Entity,Year,Econ,Mid,Lux,Econ,Mid,Lux,Econ,Mid,Lux,Econ,Mid,Lux,Econ,Mid,Lux,Econ,Mid,Lux,Econ,Mid,Lux,Econ,Lux,Adv Econ,Adv Lux ,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,2010,0.2298,0.2637,0.0106,0,0,0,0.0021,0.2859,0.055,0,0,0,0.0197,0.0226,0.0009,0.0001,0.0003,0.0001,0,0,0,0.0523,0.0569,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,2011,0.2224,0.26,0.0102,0,0,0,0.0025,0.2963,0.0549,0,0,0,0.0196,0.0229,0.0009,0.0001,0.0004,0.0001,0,0,0,0.0521,0.0576,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,2012,0.2187,0.2569,0.0095,0,0,0,0.0031,0.305,0.0542,0,0,0,0.0206,0.0242,0.0009,0.0001,0.0005,0.0001,0,0,0,0.0478,0.0582,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,2013,0.2011,0.2423,0.0084,0.0145,0.0173,0.0006,0.0037,0.2895,0.05,0.0002,0.0203,0.0036,0.0214,0.0256,0.0009,0.0002,0.0006,0.0002,0,0,0,0.0406,0.0522,0.0031,0.0038,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,2014,0.1977,0.2444,0.008,0.0148,0.0179,0.0006,0.0047,0.2935,0.0494,0.0003,0.0207,0.0036,0.0221,0.0269,0.0009,0.0002,0.0007,0.0002,0,0,0,0.0369,0.0499,0.0029,0.0037,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,2015,0.1942,0.2462,0.0076,0.0152,0.0186,0.0006,0.006,0.2971,0.0487,0.0004,0.0212,0.0036,0.0228,0.0283,0.0009,0.0002,0.0009,0.0002,0,0,0,0.0334,0.0476,0.0028,0.0037,,,,,,,,,,,,,,,,,,,,,,,,,,,
Luxembourg,2004,0.1638,0.2457,0.1134,0,0,0,0.0125,0.2782,0.1282,0,0,0,0,0,0,0,0,0,0,0,0,0.0377,0.0206,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Luxembourg,2005,0.1504,0.2211,0.1075,0,0,0,0.0184,0.3101,0.1351,0,0,0,0.0002,0.0003,0.0001,0,0,0,0,0,0,0.0368,0.0201,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Luxembourg,2006,0.1374,0.2002,0.0986,0,0,0,0.0239,0.3346,0.1464,0,0,0,0.0002,0.0003,0.0001,0,0,0,0,0,0,0.0373,0.0209,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Luxembourg,2007,0.129,0.1817,0.0909,0,0,0,0.0295,0.3595,0.1503,0,0,0,0.0002,0.0003,0.0001,0,0,0,0,0,0,0.0381,0.0205,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Luxembourg,2008,0.1238,0.167,0.0864,0,0,0,0.0317,0.383,0.1498,0,0,0,0.0002,0.0003,0.0002,0,0,0,0,0,0,0.0374,0.0202,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Luxembourg,2009,0.1227,0.1534,0.0793,0,0,0,0.0315,0.3986,0.1534,0,0,0,0,0,0,0,0,0,0,0,0,0.0382,0.0227,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Luxembourg,2010,0.1181,0.1249,0.0682,0,0,0,0.0339,0.4306,0.1616,0,0,0,0,0,0,0,0,0,0,0,0,0.0387,0.0239,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
