,Entity,Year,Fossil fuels (% equivalent primary energy),Transport_x,Agriculture,Land-use change and forestry,Waste,Industry,Manufacturing and construction,Transport_y,Electricity and heat,Buildings,Fugitive emissions,Other fuel combustion,Aviation and shipping,Renewables (% equivalent primary energy),Fossil fuels (% electricity),Renewables (% electricity)
71,Argentina,2011,87.20745849609375,45669998.16894531,116879997.25341795,65839996.33789063,19510000.22888184,20829999.92370605,20799999.237060547,47040000.915527344,64629997.25341797,28500000.0,19979999.542236328,12090000.15258789,7190000.057220459,10.929448127746582,69.30162811279297,25.20345497131348
72,Argentina,2012,88.00098419189453,44819999.69482422,118870002.74658205,65900001.525878906,19819999.69482422,21219999.31335449,19270000.457763672,46220001.220703125,67680000.30517578,29959999.084472656,20870000.8392334,11399999.618530272,8340000.152587891,10.216425895690918,72.08043670654297,22.808320999145508
73,Argentina,2013,87.39830017089844,47740001.6784668,121779998.77929688,66519996.643066406,20129999.1607666,22399999.618530277,21200000.762939453,49229999.54223633,65089996.33789063,31120000.8392334,20799999.237060547,12720000.267028809,8539999.961853027,10.950078964233398,70.15630340576172,24.99004173278809
74,Argentina,2014,87.49810791015625,44060001.373291016,122910003.66210938,65660003.662109375,20450000.762939453,22950000.762939453,21600000.381469727,45520000.45776367,67089996.33789063,30059999.465942383,21020000.457763672,11539999.961853027,7809999.942779541,11.03897762298584,70.57549285888672,24.92580795288086
75,Argentina,2015,87.26728057861328,46279998.77929688,122309997.55859376,65809997.55859375,20760000.22888184,23969999.31335449,21790000.915527344,47819999.69482422,69879997.25341797,30370000.8392334,21149999.618530277,11939999.5803833,5780000.20980835,10.907397270202637,71.11924743652344,23.698575973510746
76,Argentina,2016,87.68685150146484,45250000.0,126510002.13623048,29899999.618530277,21059999.465942383,24610000.61035156,19569999.69482422,46799999.23706055,71279998.77929688,30799999.237060547,21020000.457763672,11680000.30517578,5170000.076293945,10.167007446289062,72.67964172363281,21.368724822998047
77,Argentina,2017,87.46578216552734,46430000.30517578,132779998.77929688,30379999.1607666,21370000.8392334,26170000.076293945,19090000.15258789,48049999.23706055,68330001.83105469,28700000.762939453,20829999.92370605,11880000.114440918,5679999.828338623,10.96471881866455,72.34052276611328,23.081762313842773
78,Argentina,2018,86.82838439941406,47790000.915527344,130770004.27246094,29850000.381469727,21670000.076293945,27299999.237060547,20819999.69482422,49409999.84741211,64209999.084472656,28280000.686645508,22059999.465942383,10569999.69482422,5679999.828338623,11.397629737854004,71.01403045654297,24.111492156982425
79,Argentina,2019,85.77884674072266,47470001.220703125,130639999.38964844,29860000.61035156,21979999.542236328,28190000.534057617,20620000.8392334,49090000.15258789,56790000.915527344,27110000.61035156,23920000.076293945,10710000.038146973,4909999.847412109,11.926772117614746,68.60719299316406,25.04844093322754
80,Asia,1990,91.49714660644533,770849975.5859375,1969410034.1796875,280070007.32421875,547190002.4414062,291899993.8964844,1662689941.40625,790020019.53125,2140679931.640625,949109985.3515624,666809997.5585938,378890014.6484375,168529998.77929688,5.332828998565674,74.77497100830078,16.312374114990234
81,Asia,1991,91.5501480102539,800760009.765625,1983520019.53125,280070007.32421875,560750000.0,325230010.9863281,1728010009.765625,820750000.0,2260000000.0,949900024.4140624,661989990.234375,390940002.4414063,183919998.1689453,5.191641807556152,75.10757446289062,15.670186042785645
82,Asia,1992,91.79212951660156,835820007.3242188,2002109985.3515625,280160003.6621094,572669982.9101562,370679992.6757813,1743130004.8828125,856750000.0,2417790039.0625,934419982.9101562,675619995.1171875,388420013.4277344,203039993.2861328,5.006854057312012,76.08894348144531,14.945117950439451
83,Asia,1993,91.27645874023438,888679992.6757812,2002250000.0,280160003.6621094,584599975.5859375,405309997.55859375,1786510009.765625,910989990.234375,2604459960.9375,956179992.6757812,696359985.3515625,373029998.7792969,203479995.72753903,5.318292617797852,74.4090576171875,15.742843627929688
84,Asia,1994,91.48612213134766,911190002.4414062,2038349975.5859373,280279998.7792969,598679992.6757812,446480010.9863281,1848180053.7109373,933950012.2070312,2793520019.53125,944059997.5585938,694280029.296875,381720001.2207031,219260009.765625,5.057206630706787,75.50841522216797,14.605704307556152
85,Asia,1995,91.08517456054688,967669982.9101562,2112580078.125,282139984.1308594,608809997.5585938,491089996.3378906,2058679931.640625,991770019.53125,2950880126.953125,1024400024.4140624,721809997.5585938,332320007.32421875,221750000.0,5.2637858390808105,74.571533203125,14.895889282226562
86,Asia,1996,91.29312133789062,1058739990.234375,2168679931.640625,71710044.86083984,617289978.0273438,526580017.08984375,1951420043.9453125,1084780029.296875,3165770019.53125,981770019.53125,741119995.1171875,267479980.46875,230710006.7138672,5.012627124786377,75.27731323242188,14.109111785888672
