Year,Month,Make,Model,Quantity,Type of engine
2009,2,Audi ,Audi A4,138,gas
2009,2,BMW ,BMW 3-serie,135,gas
2009,2,Honda ,Honda CR-V,131,gas
2009,2,Mazda ,Mazda 6,127,gas
2009,2,Volvo ,Volvo XC60,103,gas
2009,2,Peugeot ,Peugeot 207,103,gas
2009,2,Peugeot ,Peugeot 308,101,gas
2009,2,Volvo ,Volvo V50,96,gas
2009,2,Opel ,Opel Insignia,86,EV/Hybrid
2009,2,Toyota ,Toyota Prius,73,EV/Hybrid
2009,3,Volkswagen ,Volkswagen Golf,344,gas
2009,3,Ford ,Ford Mondeo,301,gas
2009,3,Toyota ,Toyota Avensis,281,gas
2009,3,Mazda ,Mazda 6,248,gas
2009,3,Skoda ,Skoda Octavia,236,gas
2009,3,Toyota ,Toyota Auris,225,gas
2009,3,Honda ,Honda CR-V,214,gas
2009,3,Nissan ,Nissan Qashqai,182,gas
2009,3,Volkswagen ,Volkswagen Passat,175,gas
2009,3,Volkswagen ,Volkswagen Tiguan,172,gas
2009,3,Peugeot ,Peugeot 308,170,gas
2009,3,Audi ,Audi A4,160,gas
2009,3,Opel ,Opel Insignia,156,EV/Hybrid
2009,3,Mitsubishi ,Mitsubishi Outlander,150,gas
2009,3,Hyundai ,Hyundai i20,141,gas
2009,3,BMW ,BMW 3-serie,132,gas
2009,3,Toyota ,Toyota Rav4,130,gas
2009,3,Toyota ,Toyota Yaris,123,gas
2009,3,Ford ,Ford Focus,115,gas
2009,3,Peugeot ,Peugeot 207,108,gas
2009,3,Volvo ,Volvo XC60,88,gas
2009,4,Volkswagen ,Volkswagen Golf,441,gas
2009,4,Toyota ,Toyota Avensis,389,gas
2009,4,Skoda ,Skoda Octavia,286,gas
2009,4,Peugeot ,Peugeot 308,274,gas
2009,4,Volkswagen ,Volkswagen Tiguan,211,gas
2009,4,Volkswagen ,Volkswagen Passat,202,gas
2009,4,Ford ,Ford Mondeo,201,gas
2009,4,Opel ,Opel Insignia,197,EV/Hybrid
2009,4,Toyota ,Toyota Auris,196,gas
2009,4,Nissan ,Nissan Qashqai,166,gas
2009,4,Volvo ,Volvo V70,156,gas
2009,4,Audi ,Audi A4,148,gas
2009,4,BMW ,BMW 3-serie,133,gas
2009,4,Ford ,Ford Focus,132,gas
2009,4,Peugeot ,Peugeot 207,128,gas
2009,4,Honda ,Honda CR-V,125,gas
